id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
1767,"gastric problem, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,XFSzw6zH,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1768,"joint pain, arthritis, gastric problem",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,FnWGTKLk,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1769,"arthritis, joint pain, constipation",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,ovDXGyF9,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1770,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,DVsAzwqe,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1771,"migraine, nose block",Vaidya Priya Nair,Nasya,vaidya.priya.nair,OKt4Mykx,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1772,"gout, skin boils",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,ncdeIpKP,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1773,"sinus, headache",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,NcXVPs3p,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1774,arthritis,Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,fQA0znfB,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1775,"acne, gout, skin boils",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,pcVXrykT,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1776,"inflammation, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,r5KVhrwf,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1777,"psoriasis, liver problem, acidity",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,hY2keSkx,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1778,"asthma, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,LxPv6HMM,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1779,"pimples, acidity, allergy",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,HUCMvXDr,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1780,migraine,Vaidya Priya Nair,Nasya,vaidya.priya.nair,obF1kdJs,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1781,"gastric problem, arthritis",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,MSOE1AYO,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1782,"inflammation, acne, blood impure",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,Bfq33Pm2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1783,"bronchitis, cough, kapha disorder",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,QOHE8BhL,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1784,"constipation, joint pain, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,9AcnKm71,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1785,allergy,Vaidya Priya Nair,Nasya,vaidya.priya.nair,2a4uD6cx,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1786,"acne, blood impure, inflammation",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,1ahCJLga,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1787,"arthritis, joint pain",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,ax04Kuk3,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1788,"acne, skin boils, ulcer",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,qQcKGSCv,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1789,skin boils,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,9nJDfQMz,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1790,"gout, acne, inflammation",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,KnWDKrX9,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1791,"eczema, acidity",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,r8799NFg,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1792,"respiratory issue, obesity",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,1LXvBkAr,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1793,"inflammation, gout, blood impure",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,Do7WiGvY,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1794,"pimples, skin rashes, liver problem",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,4jpDcZqS,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1795,skin boils,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,zBgftSz6,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1796,"asthma, obesity",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,6hzTfj0E,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1797,"asthma, kapha disorder, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,HLHZQ90T,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1798,"skin rashes, liver problem, acidity",Vaidya Seema Verma,Virechana,vaidya.seema.verma,5XnVTYLp,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1799,"headache, migraine, nose block",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,HoKz2KUX,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1800,cold,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,aTINjXzy,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1801,ulcer,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,GGwTVIkx,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1802,"blood impure, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,zzn2ZMrC,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1803,joint pain,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,oulWD2iE,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1804,skin boils,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,3jBILwf4,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1805,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,JGFt70sr,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1806,"migraine, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,pM07FKmi,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1807,migraine,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,SnMo9PWv,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1808,"stuffy nose, cold",Vaidya Priya Nair,Nasya,vaidya.priya.nair,GICeSgOp,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1809,arthritis,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,ljsHMhVS,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1810,"psoriasis, acidity",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,12PnO4aD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1811,"back pain, joint pain, indigestion",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,XX3RIhAM,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1812,"allergy, cold",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,uCA3DvMK,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1813,"inflammation, acne, gout",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,Xb3qaezX,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1814,nose block,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,EbdcRyYs,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1815,"nose block, migraine",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,SNatmo4q,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1816,asthma,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,UKX1TQE2,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1817,joint pain,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,jKRSDnCt,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1818,psoriasis,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,YIiIdW3w,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1819,"blood impure, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,ynZLKx99,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1820,obesity,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,NKT4s56G,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1821,arthritis,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,1x7syE85,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1822,"nose block, stuffy nose",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,2vh2yGX7,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1823,"indigestion, constipation, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,OYnNNMgW,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1824,"gout, skin boils, acne",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,Cz87Rucy,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1825,bronchitis,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,Q88CwPS0,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1826,"nose block, migraine",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,M3HDqAso,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1827,gout,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,GMsUisuc,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
